subject,predicate,object,chunk_id
podnikatel,může prodávat,zboží,12bc808eb0e349f4a4606a7547e7d112
podnikatel,může poskytovat,služby,12bc808eb0e349f4a4606a7547e7d112
obec,může vydat,tržní řád,12bc808eb0e349f4a4606a7547e7d112
tržní řád,vymezí,místa pro nabídku a prodej zboží,12bc808eb0e349f4a4606a7547e7d112
živnosti koncesované,jsou,živnosti uvedené v příloze č. 3 k tomuto zákonu,8e096a972b5d4c09bb643d4cbb620463
odborná způsobilost pro koncesované živnosti,je stanovena,přílohou č. 3 k tomuto zákonu,8e096a972b5d4c09bb643d4cbb620463
odborná způsobilost pro koncesované živnosti,je upravena,zvláštními právními předpisy uvedenými v této příloze,8e096a972b5d4c09bb643d4cbb620463
podnikatel,je povinen,zajištění účasti odpovědného zástupce,125d5194be87410fbd68bf49dba7ecde
podnikatel,je povinen,viditelně označit obchodní firmou,125d5194be87410fbd68bf49dba7ecde
podnikatel,je povinen,prokázat právní důvod pro užívání prostor,125d5194be87410fbd68bf49dba7ecde
podnikatel,nemusí prokazovat,právní důvod pro užívání prostor,125d5194be87410fbd68bf49dba7ecde
podnikatel,je povinen,prokázat způsob nabytí prodávan,125d5194be87410fbd68bf49dba7ecde
živnostenský zákon,stanoví,předmět smluvního vztahu,7464d5e76973482daa0167589ab83066
živnostenský zákon,považuje se,identifikace předmětu smluvního vztahu,7464d5e76973482daa0167589ab83066
podnikatel,je povinen,evidovat identifikační údaje,7464d5e76973482daa0167589ab83066
podnikatel,je povinen,uchovávat identifikační údaje,7464d5e76973482daa0167589ab83066
podnikatel,nesmí,koupit zboží,7464d5e76973482daa0167589ab83066
živnostenský zákon,stanoví,podmínku znalosti českého jazyka nebo slovenského jazyka,53d5811b61b14cf2adc3175b175ad577
živnostenský úřad,může zkoumat,splnění této podmínky pohovorem,53d5811b61b14cf2adc3175b175ad577
živnostenský úřad,posuzuje,schopnost osoby plynně reagovat,53d5811b61b14cf2adc3175b175ad577
živnostenský úřad,posuzuje,schopnost osoby jazykově správně reagovat,53d5811b61b14cf2adc3175b175ad577
živnostenský zákon,stanoví,pokračování v provozování živnosti,642d2f60066b432eb04c93f746f67cad
živnostenský zákon,upravuje,oznámení živnostenskému úřadu,642d2f60066b432eb04c93f746f67cad
osoba,musí oznámit,pokračování v provozování živnosti,642d2f60066b432eb04c93f746f67cad
osoba,musí ohlásit,živnost,642d2f60066b432eb04c93f746f67cad
osoba,musí podat,žádost o koncesi,642d2f60066b432eb04c93f746f67cad
živnostenský zákon,stanoví,povinností stanovených v odstavcích 9 a 17,fdfc33e90d3a44d1974775e96ec41ecc
živnostenský zákon,stanoví,povinnosti splňovat podmínky odborné nebo jiné způsobilosti,fdfc33e90d3a44d1974775e96ec41ecc
podnikatel,je povinen,předem písemně oznámit živnostenskému úřadu,fdfc33e90d3a44d1974775e96ec41ecc
provozování živnosti,je možno,pokračovat nejdříve dnem doručení oznámení,fdfc33e90d3a44d1974775e96ec41ecc
podnikatel,je povinen,oznámit živnostenskému úřadu,b035f71335ad455caf28befe1539cd6f
podnikatel,je povinen,ohlásit každou změnu adresy,b035f71335ad455caf28befe1539cd6f
adresou pro vypořádání závazků,nemůže být,adresa bydliště podnikatele,b035f71335ad455caf28befe1539cd6f
adresou pro vypořádání závazků,nemůže být,adresa sídla ohlašovny,b035f71335ad455caf28befe1539cd6f
adresou pro vypořádání závazků,nemůže být,z,b035f71335ad455caf28befe1539cd6f
živnostenský zákon,považuje se,pronajímat zboží,216bbe162a3c47d795c1917e3c52ac06
živnostenský zákon,považuje se,zprostředkovávat koupi a prodej zboží v jednotlivých případech,216bbe162a3c47d795c1917e3c52ac06
živnostenský zákon,považuje se,"provádět na zboží drobné změny, jimiž zboží přizpůsobuje potřebám kupujícího na jeho žádost",216bbe162a3c47d795c1917e3c52ac06
živnostenský zákon,považuje se,provádět montáž zbo,216bbe162a3c47d795c1917e3c52ac06
živnostenský zákon,vyrábět,obaly,c7bf72dba0204cb4b2caef1a9575a95f
živnostenský zákon,vyrábět,etikety,c7bf72dba0204cb4b2caef1a9575a95f
živnostenský zákon,vyrábět,jiné pomocné prostředky,c7bf72dba0204cb4b2caef1a9575a95f
živnostenský zákon,pronajímat,výrobky vlastní výroby,c7bf72dba0204cb4b2caef1a9575a95f
živnostenský zákon,pronajímat,výrobky jiných výrobců stejného druhu,c7bf72dba0204cb4b2caef1a9575a95f
živnostenský zákon,stanoví,řádné ukončení vysokoškolského vzdělání,d9212f63fd144cd19fa732919b46d859
živnostenský zákon,stanoví,uznání odborné kvalifikace,d9212f63fd144cd19fa732919b46d859
živnostenský zákon,stanoví,získání všech profesních kvalifikací,d9212f63fd144cd19fa732919b46d859
občan české republiky nebo jiného členského státu evropské unie,může prokázat,odbornou způsobilost,d9212f63fd144cd19fa732919b46d859
právnická osoba,uvede,obchodní firmu nebo název,2acef8d2c0b64711bab0b9b419413419
právnická osoba,uvede,adresu sídla,2acef8d2c0b64711bab0b9b419413419
právnická osoba,uvede,jméno,2acef8d2c0b64711bab0b9b419413419
právnická osoba,uvede,příjmení,2acef8d2c0b64711bab0b9b419413419
právnická osoba,uvede,rodné číslo,2acef8d2c0b64711bab0b9b419413419
právnická osoba,uvede,,2acef8d2c0b64711bab0b9b419413419
živnostenský zákon,stanoví,datum narození,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,místo narození,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,rodné příjmení,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,údaje odpovědného zástupce,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,jméno zahraniční fyzické osoby,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,příjmení zahraniční fyzické osoby,b45afef9499b461fa8ddd5db5a252a33
živnostenský zákon,stanoví,předmět podnikání,03abe8e5634f42bb862428bbc1a1f1e5
živnostenský zákon,vymezuje,rozsah živnostenského oprávnění,03abe8e5634f42bb862428bbc1a1f1e5
ohlašovatel,je povinen,vymezit předmět podnikání,03abe8e5634f42bb862428bbc1a1f1e5
ohlašovatel,uvede,obory činností,03abe8e5634f42bb862428bbc1a1f1e5
předmět podnikání živnosti volné,musí být ohlášen,v souladu s názvem oboru činnosti,03abe8e5634f42bb862428bbc1a1f1e5
živnostenský zákon,stanoví,podat přihlášku k důchodovému pojištění,9864ad64fa1b41ff946e1d2ba99e13cd
živnostenský zákon,stanoví,podat přihlášku k nemocenskému pojištění,9864ad64fa1b41ff946e1d2ba99e13cd
živnostenský zákon,stanoví,oznámit vznik volného pracovního místa nebo jeho obsazení,9864ad64fa1b41ff946e1d2ba99e13cd
živnostenský zákon,stanoví,podat oznámení podle zákona o veřejném zdravotním pojištění,9864ad64fa1b41ff946e1d2ba99e13cd
živnostenský zákon,upravuje,změnu údajů,0fb3661543b547178b0308c5e5ba7e99
živnostenský úřad,předá,údaje podle předchozích odstavců,0fb3661543b547178b0308c5e5ba7e99
živnostenský úřad,předá,oznámení jejich změn,0fb3661543b547178b0308c5e5ba7e99
lhůta,počíná běžet,ode dne vzniku živnostenského oprávnění,0fb3661543b547178b0308c5e5ba7e99
lhůta,počíná běžet,ode dne odstranění závad ohlášení,0fb3661543b547178b0308c5e5ba7e99
údaje,mohou být předávány,v,0fb3661543b547178b0308c5e5ba7e99
živnostenský zákon,stanoví,doklady nesmí být starší než 3 měsíce,2565fb27faa94ed9ba7282aeaa31b8f3
živnostenský zákon,považuje se,doklad podle tohoto písmene může být nahrazen dokladem o uznání odborné kvalifikace,2565fb27faa94ed9ba7282aeaa31b8f3
živnostenský zákon,stanoví,výpis z evidence trestů nebo rovnocenný doklad,2565fb27faa94ed9ba7282aeaa31b8f3
živnostenský zákon,považuje se,čestné prohlášení o bezúhonnosti,2565fb27faa94ed9ba7282aeaa31b8f3
zahraniční fyzická osoba,dokládá,doklady o pobytu,2261d68cb5a24f7fb90d4ecfafa4ccff
zahraniční fyzická osoba,dokládá,"doklad prokazující, že má závod mimo území české republiky",2261d68cb5a24f7fb90d4ecfafa4ccff
zahraniční fyzická osoba,dokládá,doklady o jeho provozování,2261d68cb5a24f7fb90d4ecfafa4ccff
občan členského státu evropské unie,nedokládá,doklad o provozování závodu,2261d68cb5a24f7fb90d4ecfafa4ccff
živnostenský úřad,předá,údaje podle odstavců 1 a 2,2aa488d9bdd74a18a2c8c5f2ae13b029
živnostenský úřad,předá,údaje v elektronické podobě,2aa488d9bdd74a18a2c8c5f2ae13b029
živnostenský úřad,předá,údaje ve formátu a struktuře zveřejněné správcem daně,2aa488d9bdd74a18a2c8c5f2ae13b029
předání údajů správci daně,hledí se jako na,podání přihlášky k registraci,2aa488d9bdd74a18a2c8c5f2ae13b029
živnostenský zákon,stanoví,doklad vydaný příslušným soudním nebo správním orgánem tohoto státu,00dca22cd8ba4154be3fa65ad5d5fb7b
živnostenský zákon,stanoví,čestné prohlášení učiněné před notářem nebo jiným příslušným orgánem tohoto státu,00dca22cd8ba4154be3fa65ad5d5fb7b
živnostenský zákon,stanoví,doklad prokazující odbornou způsobilost odpovědného zástupce,00dca22cd8ba4154be3fa65ad5d5fb7b
živnostenský zákon,stanoví,"doklad o tom, že práv",00dca22cd8ba4154be3fa65ad5d5fb7b
živnostenský zákon,stanoví,právnická osoba se sídlem,d134004d33214cf3b59c2f336416f849
živnostenský zákon,stanoví,ústřední správou,d134004d33214cf3b59c2f336416f849
živnostenský zákon,stanoví,hlavním místem své podnikatelské činnosti v členském státu evropské unie,d134004d33214cf3b59c2f336416f849
výpis z rejstříku,nesmí být,starší než 3 měsíce,d134004d33214cf3b59c2f336416f849
doklad,prokazuje,pr,d134004d33214cf3b59c2f336416f849
živnostenský zákon,stanoví,doklady podle odstavce 1 písm. a),753f1ae0b48b43c5935424b252dc123c
živnostenský zákon,stanoví,doklady podle odstavce 1 písm. b),753f1ae0b48b43c5935424b252dc123c
doklady,nesmí být,starší než 3 měsíce,753f1ae0b48b43c5935424b252dc123c
ohlášení,doloží,rozhodnutí soudu o přiznání svéprávnosti,753f1ae0b48b43c5935424b252dc123c
ohlášení,doloží,přivolení soudu,753f1ae0b48b43c5935424b252dc123c
živnostenský úřad,vyzve,ohlašovatele,dd1d183e261b403b9044fbc94477f259
živnostenský úřad,stanoví,přiměřenou lhůtu,dd1d183e261b403b9044fbc94477f259
živnostenský úřad,může,prodloužit lhůtu,dd1d183e261b403b9044fbc94477f259
lhůta,neběží,lhůta pro provedení zápisu do živnostenského rejstříku,dd1d183e261b403b9044fbc94477f259
ohlašovatel,odstraní,závady,dd1d183e261b403b9044fbc94477f259
živnostenský zákon,stanoví,adresa bydliště podnikatele,1b41855191ba41ab84691c7f703b9605
živnostenský zákon,stanoví,adresa bydliště zahraniční osoby,1b41855191ba41ab84691c7f703b9605
živnostenský zákon,stanoví,adresa místa pobytu v české republice,1b41855191ba41ab84691c7f703b9605
živnostenský zákon,stanoví,označení a adresa umístění odštěpného závodu v české republice,1b41855191ba41ab84691c7f703b9605
živnostenský zákon,stanoví,"obchodní firma, je-li fyzická osoba zapsána do obchodního rejstříku",1b41855191ba41ab84691c7f703b9605
ohlašovatel,není povinen,připojit k ohlášení doklady uvedené v odstavcích 1 a 2,d3b0100b655148928fe586c15ee04398
ohlašovatel,není povinen,připojit doklady podle odstavce 1 písm. a),d3b0100b655148928fe586c15ee04398
ohlašovatel,není povinen,připojit doklady podle odstavce 1 písm. b),d3b0100b655148928fe586c15ee04398
ohlašovatel,není povinen,připojit doklady podle odstavce 1 písm. d),d3b0100b655148928fe586c15ee04398
živnostenský zákon,rozhodne,živnostenské oprávnění ohlášením nevzniklo,c94fc489de6848808128140f7ae65f57
živnostenský úřad,rozhodne,ohlašovatel nesplnil podmínky pro vznik živnostenského oprávnění,c94fc489de6848808128140f7ae65f57
živnostenský úřad,vydá,výpis s údaji podle § 47 odst. 2,c94fc489de6848808128140f7ae65f57
právo provozovat živnost,vznikne,této osobě dnem doložení dokladu prokazujícího udělení dlouhodobého ví,c94fc489de6848808128140f7ae65f57
živnostenský úřad,rozhodne,ohlašovatel nesplnil podmínky pro vznik živnostenského oprávnění,185eed0f6a234e28a1a394d55b590cbd
živnostenský úřad,rozhodne,uvedená osoba nedoložila doklad o povolení k pobytu ve lhůtě 6 měsíců ode dne doručení výpisu podle odstavce 7,185eed0f6a234e28a1a394d55b590cbd
živnostenský úřad,zapíše,"skutečnost, že ohlašovatel nesplnil podmínky pro vznik živnostenského oprávnění",185eed0f6a234e28a1a394d55b590cbd
živnostenský zákon,stanoví,povinnost živnostenského úřadu,55365979a5434b2cb688874cd37564a7
živnostenský zákon,vztahuje se,změny v živnostenském rejstříku,55365979a5434b2cb688874cd37564a7
živnostenský zákon,vztahuje se,změny živnostenského oprávnění při pokračování v provozování živnosti po úmrtí podnikatele,55365979a5434b2cb688874cd37564a7
živnostenský zákon,vztahuje se,přerušení provozování živnosti,55365979a5434b2cb688874cd37564a7
živnostenský úřad,plní,povinnosti uvedené v odstavci 1,d0cdda21bf514ea4b69b00e72c834ba7
podnikatel,je povinen,oznámit všechny změny a doplnění týkající se údajů a dokladů,d0cdda21bf514ea4b69b00e72c834ba7
podnikatel,předložit,doklady o nich,d0cdda21bf514ea4b69b00e72c834ba7
živnostenský úřad,zapíše,změny a doplnění údajů získaných z těchto registrů,d0cdda21bf514ea4b69b00e72c834ba7
živnostenský úřad,vydá,výpis,3c48b231ecb34367bc3fd62514fefb50
živnostenský úřad,informuje,podnikatele,3c48b231ecb34367bc3fd62514fefb50
živnostenský úřad,vyzve,podnikatele,3c48b231ecb34367bc3fd62514fefb50
